ds;dt;P;V
2019-01-07 05:00;150;0.2587;3
2019-01-07 06:00;151;1.0586;4.6
2019-01-07 07:00;152;1.9417;6.2
2019-01-07 08:00;153;2.5542;6.9
2019-01-07 09:00;154;2.6248;7.3
2019-01-07 10:00;155;2.6169;7.8
2019-01-07 11:00;156;2.7865;7.8
2019-01-07 12:00;157;2.8591;8
2019-01-07 13:00;158;2.836;7.5
2019-01-07 14:00;159;2.4783;6.8
2019-01-07 15:00;160;1.9358;7.5
2019-01-07 16:00;161;1.1768;5.8
2019-01-07 17:00;162;1.4177;5.4
2019-01-07 18:00;163;1.151;6
2019-01-07 19:00;164;0.5914;4.8
2019-01-07 20:00;165;0.5161;4.9
2019-01-07 21:00;166;0.4679;3.5
2019-01-07 22:00;167;0.1558;4
2019-01-07 23:00;168;0;2.4
2019-01-08 00:00;169;0.0607;2.1
2019-01-08 01:00;170;0.2376;2.6
2019-01-08 02:00;171;0.0535;3.2
2019-01-08 03:00;172;0.6752;3.3
2019-01-08 04:00;173;0.5848;5
2019-01-08 05:00;174;0.4963;4.3
2019-01-08 06:00;175;0.4917;5.2
2019-01-08 07:00;176;0.3637;3.6
2019-01-08 08:00;177;0.095;3.5
2019-01-08 09:00;178;0.0066;3
2019-01-08 10:00;179;0;1.8
2019-01-08 11:00;180;0;1.3
2019-01-08 12:00;181;0;0.4
2019-01-08 13:00;182;0;2.2
2019-01-08 14:00;183;0;1.6
2019-01-08 15:00;184;0;2.1
2019-01-08 16:00;185;0.0046;2.2
2019-01-08 17:00;186;0.0218;2.5
2019-01-08 18:00;187;0.0937;3.1
2019-01-08 19:00;188;0.7366;3.3
2019-01-08 20:00;189;2.7001;6.6
2019-01-08 21:00;190;3.6155;8.1
2019-01-08 22:00;191;2.7515;7.6
2019-01-08 23:00;192;3.5495;8.2
2019-01-09 00:00;193;3.6406;8.6
2019-01-09 01:00;194;2.6354;8.4
2019-01-09 02:00;195;1.7695;6.3
2019-01-09 03:00;196;2.178;6.4
2019-01-09 04:00;197;0.8758;7
2019-01-09 05:00;198;0.0231;2.9
2019-01-09 06:00;199;0.2581;2.4
2019-01-09 07:00;200;0.8237;4.7
2019-01-09 08:00;201;1.1656;6
2019-01-09 09:00;202;1.4025;5.4
2019-01-09 10:00;203;1.3325;6.3
2019-01-09 11:00;204;1.4751;5.3
2019-01-09 12:00;205;0.953;5.9
2019-01-09 13:00;206;0.7366;4.6
2019-01-09 14:00;207;0.2171;3.6
2019-01-09 15:00;208;0.2587;3.4
2019-01-09 16:00;209;0;2.3
2019-01-09 17:00;210;0;2.1
2019-01-09 18:00;211;0;1.3
2019-01-09 19:00;212;0.0647;2.1
2019-01-09 20:00;213;0.0178;3
2019-01-09 21:00;214;0;2.3
2019-01-09 22:00;215;0;1.3
2019-01-09 23:00;216;0;1.1
2019-01-10 00:00;217;0;2
2019-01-10 01:00;218;0;1.3
2019-01-10 02:00;219;0.0277;1.7
2019-01-10 03:00;220;0.0521;3.1
2019-01-10 04:00;221;0.0528;2.8
2019-01-10 05:00;222;0.0818;3
2019-01-10 06:00;223;0.6904;3.5
2019-01-10 07:00;224;1.9001;5.3
2019-01-10 08:00;225;1.7345;6.3
2019-01-10 09:00;226;2.0117;6.2
2019-01-10 10:00;227;1.8427;6.5
2019-01-10 11:00;228;1.8718;7
2019-01-10 12:00;229;2.1318;6.5
2019-01-10 13:00;230;1.815;7.1
2019-01-10 14:00;231;1.5226;6.4
2019-01-10 15:00;232;1.8044;5.4
2019-01-10 16:00;233;0.7762;5.6
2019-01-10 17:00;234;0.1102;3.7
2019-01-10 18:00;235;0.0013;2.5
2019-01-10 19:00;236;0;2.3
2019-01-10 20:00;237;0.7267;1.3
2019-01-10 21:00;238;0.2911;3.3
2019-01-10 22:00;239;0.1729;3.8
2019-01-10 23:00;240;0.0812;2.8
2019-01-11 00:00;241;0.3043;3.5
2019-01-11 01:00;242;0.5986;3.4
2019-01-11 02:00;243;0.6851;4.7
2019-01-11 03:00;244;0.1419;3.9
2019-01-11 04:00;245;0.0073;2.8
2019-01-11 05:00;246;0.0053;1.3
2019-01-11 06:00;247;0.0026;3
2019-01-11 07:00;248;0;0.8
2019-01-11 08:00;249;0.0125;1.9
2019-01-11 09:00;250;0.3478;2.9
2019-01-11 10:00;251;2.083;4.7
2019-01-11 11:00;252;2.3074;7.4
2019-01-11 12:00;253;3.2941;7.8
2019-01-11 13:00;254;2.8057;7.5
2019-01-11 14:00;255;3.2142;7.9
2019-01-11 15:00;256;2.0262;7.5
2019-01-11 16:00;257;1.0817;5.8
2019-01-11 17:00;258;0.7135;4.7
2019-01-11 18:00;259;0.4653;4.6
2019-01-11 19:00;260;0.268;3.7
2019-01-11 20:00;261;0.2198;3.7
2019-01-11 21:00;262;0.3161;0
2019-01-11 22:00;263;0.3049;3.8
2019-01-11 23:00;264;0.3901;3.3
2019-01-12 00:00;265;0.2389;3.5
2019-01-12 01:00;266;0.4389;3.4
2019-01-12 02:00;267;0.4818;4.6
2019-01-12 03:00;268;0.9319;3.3
2019-01-12 04:00;269;0.0997;2.2
2019-01-12 05:00;270;0.4501;3.6
2019-01-12 06:00;271;0.4376;3.5
2019-01-12 07:00;272;1.058;4.3
2019-01-12 08:00;273;1.553;5.7
2019-01-12 09:00;274;0.6923;5.7
2019-01-12 10:00;275;0.299;3.6
2019-01-12 11:00;276;0.5729;3.2
2019-01-12 12:00;277;0.8006;5
2019-01-12 13:00;278;0.3287;4
2019-01-12 14:00;279;0.2996;3.6
2019-01-12 15:00;280;0.3425;3.7
2019-01-12 16:00;281;0.2072;4.3
2019-01-12 17:00;282;0;2.2
2019-01-12 18:00;283;0.1056;1.7
2019-01-12 19:00;284;0.8382;4
2019-01-12 20:00;285;1.0804;5.7
2019-01-12 21:00;286;1.2005;5.4
2019-01-12 22:00;287;2.1945;5.3
2019-01-12 23:00;288;0.9412;7.3
2019-01-13 00:00;289;1.6962;5.2
2019-01-13 01:00;290;2.0955;7.1
2019-01-13 02:00;291;0.5709;5.3
2019-01-13 03:00;292;0.5999;4.1
2019-01-13 04:00;293;0.9398;5.1
2019-01-13 05:00;294;1.0019;5.3
2019-01-13 06:00;295;0.8111;5.3
2019-01-13 07:00;296;2.4743;4.8
2019-01-13 08:00;297;5.3097;7.9
2019-01-13 09:00;298;5.5328;12.1
2019-01-13 10:00;299;5.5546;11.6
2019-01-13 11:00;300;5.4067;13.4
2019-01-13 12:00;301;4.8569;10.2
2019-01-13 13:00;302;4.919;10
2019-01-13 14:00;303;3.7508;9.1
2019-01-13 15:00;304;3.2696;8.4
2019-01-13 16:00;305;3.3198;7.3
2019-01-13 17:00;306;3.2868;8.2
2019-01-13 18:00;307;2.5014;7.7
2019-01-13 19:00;308;2.5799;7.6
2019-01-13 20:00;309;2.5964;7.6
2019-01-13 21:00;310;1.4309;5.9
2019-01-13 22:00;311;1.7662;5.1
2019-01-13 23:00;312;3.0023;8.1
2019-01-14 00:00;313;2.6598;7.6
2019-01-14 01:00;314;2.0031;6.9
2019-01-14 02:00;315;2.1859;6.9
2019-01-14 03:00;316;1.7167;6.9
2019-01-14 04:00;317;0.7656;5.8
2019-01-14 05:00;318;0.3241;3.9
2019-01-14 06:00;319;0.0429;3.2
2019-01-14 07:00;320;0.0884;2.8
2019-01-14 08:00;321;0.231;3.4
2019-01-14 09:00;322;0.0667;3.1
2019-01-14 10:00;323;0.0033;3
2019-01-14 11:00;324;0;2.5
2019-01-14 12:00;325;0.0053;2.5
2019-01-14 13:00;326;0;2.3
2019-01-14 14:00;327;0;1.5
2019-01-14 15:00;328;0;1
2019-01-14 16:00;329;0;0.8
2019-01-14 17:00;330;0;1.1
2019-01-14 18:00;331;0;1.8
2019-01-14 19:00;332;0.0422;2.4
2019-01-14 20:00;333;0.136;2.6
2019-01-14 21:00;334;0.2072;2.8
2019-01-14 22:00;335;0.0376;3.3
2019-01-14 23:00;336;0.004;2.7
2019-01-15 00:00;337;0;1.6
2019-01-15 01:00;338;0;1.1
2019-01-15 02:00;339;0.0158;1.7
2019-01-15 03:00;340;0.0244;2.9
2019-01-15 04:00;341;0;1.9
2019-01-15 05:00;342;0;1.6
2019-01-15 06:00;343;0;1.7
2019-01-15 07:00;344;0;2.1
2019-01-15 08:00;345;0.0429;2.6
2019-01-15 09:00;346;0.0277;3.3
2019-01-15 10:00;347;0.0944;2.2
2019-01-15 11:00;348;0;2.5
2019-01-15 12:00;349;0;2.3
2019-01-15 13:00;350;0;1.7
2019-01-15 14:00;351;0;1.8
2019-01-15 15:00;352;0.002;2.2
2019-01-15 16:00;353;0.0013;2.7
2019-01-15 17:00;354;0;0.9
2019-01-15 18:00;355;0;1.8
2019-01-15 19:00;356;0.0033;2.2
2019-01-15 20:00;357;0.0079;2.7
2019-01-15 21:00;358;0.8534;2.3
2019-01-15 22:00;359;0.427;3.5
2019-01-15 23:00;360;0.7036;4.8
2019-01-16 00:00;361;1.093;4.7
