i;P;dt
177;2.4410;442
365;3.3410;443
522;3.8920;444
624;4.1420;445
662;4.1000;446
636;3.7750;447
544;3.1300;448
394;2.1270;449
190;0.7180;450
9;0;451
0;0;452
0;0;453
0;0;454
0;0;455
0;0;456
0;0;457
0;0;458
0;0;459
0;0;460
0;0;461
0;0;462
0;0;463
3;0;464
19;0.4560;465
113;1.3700;466
292;2.4680;467
445;3.2630;468
575;3.7690;469
622;3.7910;470
582;3.4560;471
590;2.7380;472
266;1.5880;473
156;0.3530;474
15;0;475
0;0;476
0;0;477
0;0;478
0;0;479
0;0;480
0;0;481
0;0;482
0;0;483
0;0;484
0;0;485
0;0;486
0;0;487
0;0;488
12;0.8990;489
104;2.0200;490
280;3.0060;491
503;3.5120;492
565;3.7550;493
603;3.7420;494
458;3.4680;495
238;2.8950;496
358;1.8320;497
151;0.4770;498
29;0;499
0;0;500
0;0;501
0;0;502
0;0;503
0;0;504
0;0;505
0;0;506
0;0;507
0;0;508
0;0;509
0;0;510
0;0;511
2;0;512
19;1.0880;513
181;2.2950;514
363;2.5890;515
352;2.5570;516
438;2.8460;517
650;2.6190;518
636;2.1250;519
545;1.9370;520
402;1.2760;521
166;0.3780;522
13;0;523
0;0;524
0;0;525
0;0;526
0;0;527
0;0;528
0;0;529
0;0;530
0;0;531
0;0;532
0;0;533
0;0;534
0;0;535
3;0;536
23;1.2860;537
186;2.5660;538
374;3.4730;539
533;4.0130;540
639;4.2410;541
658;4.1820;542
649;3.8340;543
559;3.1670;544
410;2.1510;545
210;0.7420;546
11;0;547
0;0;548
0;0;549
0;0;550
0;0;551
0;0;552
0;0;553
0;0;554
0;0;555
0;0;556
0;0;557
0;0;558
0;0;559
0;0;560
82;1.2270;561
186;2.4500;562
374;3.3380;563
532;3.8970;564
637;4.1580;565
679;4.1310;566
652;3.8140;567
562;3.1770;568
414;2.1790;569
215;0.7830;570
12;0;571
0;0;572
0;0;573
0;0;574
0;0;575
0;0;576
0;0;577
0;0;578
0;0;579
0;0;580
0;0;581
0;0;582
0;0;583
3;0;584
93;1.3040;585
187;2.5390;586
378;3.4140;587
537;3.9410;588
644;4.1710;589
685;4.0720;590
661;3.8270;591
568;3.2100;592
419;2.2310;593
220;0.8340;594
13;0;595
0;0;596
0;0;597
0;0;598
0;0;599
0;0;600
0;0;601
0;0;602
0;0;603
0;0;604
0;0;605
0;0;606
0;0;607
1;0;608
24;1.3080;609
185;2.5390;610
375;3.4060;611
541;3.9320;612
645;4.1590;613
653;4.1060;614
661;3.7750;615
570;3.1460;616
423;2.1680;617
226;0.8020;618
13;0;619
0;0;620
0;0;621
0;0;622
0;0;623
0;0;624
0;0;625
0;0;626
0;0;627
0;0;628
0;0;629
0;0;630
0;0;631
4;0;632
31;1.2610;633
194;2.4710;634
387;3.3140;635
546;3.7990;636
609;3.9010;637
610;3.6260;638
638;3.3050;639
474;2.5300;640
419;0.9270;641
217;0.1480;642
20;0;643
0;0;644
0;0;645
0;0;646
0;0;647
0;0;648
0;0;649
0;0;650
0;0;651
0;0;652
0;0;653
0;0;654
0;0;655
4;0;656
25;1.2040;657
191;2.4080;658
379;3.3020;659
537;3.8570;660
642;4.1110;661
686;4.0780;662
663;3.7590;663
574;2.9720;664
427;1.9540;665
235;0.7350;666
28;0;667
0;0;668
0;0;669
0;0;670
0;0;671
0;0;672
0;0;673
0;0;674
0;0;675
0;0;676
0;0;677
0;0;678
0;0;679
4;0;680
9;0.1760;681
46;0.8760;682
86;1.6530;683
97;1.6450;684
133;1.3230;685
156;0.9680;686
270;0.8330;687
326;0.7320;688
219;0.5070;689
144;0.1400;690
22;0;691
0;0;692
0;0;693
0;0;694
0;0;695
0;0;696
0;0;697
0;0;698
0;0;699
0;0;700
0;0;701
0;0;702
0;0;703
1;0.0010;704
11;0.9990;705
190;2.3680;706
387;3.4000;707
549;3.9610;708
659;4.2040;709
704;4.1570;710
679;3.8250;711
587;3.1880;712
437;2.2130;713
247;0.8610;714
17;0;715
0;0;716
0;0;717
0;0;718
0;0;719
0;0;720
0;0;721
0;0;722
0;0;723
0;0;724
0;0;725
0;0;726
0;0;727
3;0.0050;728
31;1.3150;729
203;2.5150;730
395;3.3590;731
556;3.8540;732
663;4.0800;733
708;4.0390;734
686;3.7290;735
591;3.1270;736
441;2.1870;737
252;0.8720;738
16;0;739
4;0;740
0;0;741
0;0;742
0;0;743
0;0;744
0;0;745
0;0;746
0;0;747
0;0;748
0;0;749
0;0;750
0;0;751
4;0;752
18;0.8300;753
127;2.0810;754
232;2.2860;755
393;1.7820;756
430;1.3620;757
625;1.2530;758
643;1.2390;759
439;1.1880;760
175;0.9210;761
151;0.2720;762
29;0;763
3;0;764
0;0;765
0;0;766
0;0;767
0;0;768
0;0;769
0;0;770
0;0;771
0;0;772
0;0;773
0;0;774
0;0;775
1;0.0030;776
11;1.1700;777
115;2.3470;778
379;3.1830;779
551;3.6890;780
661;3.9210;781
707;3.8670;782
683;3.5220;783
590;2.8820;784
440;1.7590;785
250;0.5500;786
37;0;787
1;0;788
0;0;789
0;0;790
0;0;791
0;0;792
0;0;793
0;0;794
0;0;795
0;0;796
0;0;797
0;0;798
0;0;799
6;0.0020;800
22;0.5460;801
150;0.8440;802
244;1.3500;803
454;1.5310;804
645;2.7070;805
687;3.7480;806
683;3.4880;807
611;2.9050;808
448;1.9800;809
284;0.7490;810
27;0;811
1;0;812
0;0;813
0;0;814
0;0;815
0;0;816
0;0;817
0;0;818
0;0;819
0;0;820
0;0;821
0;0;822
0;0;823
4;0.0040;824
36;1.0230;825
216;2.3390;826
386;3.1810;827
559;3.6570;828
669;3.8310;829
710;3.6530;830
686;3.3220;831
601;2.8350;832
442;1.9780;833
241;0.8180;834
40;0;835
0;0;836
0;0;837
0;0;838
0;0;839
0;0;840
0;0;841
0;0;842
0;0;843
0;0;844
0;0;845
0;0;846
0;0;847
2;0;848
13;0.2120;849
118;0.8570;850
341;1.5440;851
362;1.2850;852
302;1.6050;853
390;1.6660;854
465;1.3910;855
333;0.9960;856
