i;P;dt
253;1.6230;1786
393;1.9530;1787
629;2.1810;1788
597;2.1690;1789
598;2.0010;1790
485;1.8200;1791
446;1.6430;1792
494;1.3620;1793
244;0.7870;1794
77;0.1390;1795
9;0;1796
0;0;1797
0;0;1798
0;0;1799
0;0;1800
0;0;1801
0;0;1802
0;0;1803
0;0;1804
0;0;1805
0;0;1806
2;0;1807
14;0.3490;1808
166;1.5850;1809
385;2.7060;1810
592;3.5310;1811
760;4.0480;1812
869;4.2810;1813
910;4.2460;1814
877;3.9520;1815
774;3.3770;1816
611;2.5340;1817
405;1.4220;1818
182;0.2690;1819
17;0;1820
0;0;1821
0;0;1822
0;0;1823
0;0;1824
0;0;1825
0;0;1826
0;0;1827
0;0;1828
0;0;1829
0;0;1830
2;0;1831
15;0.3710;1832
173;1.6060;1833
392;2.7070;1834
600;3.5050;1835
767;4.0110;1836
878;4.2420;1837
918;4.1290;1838
884;3.8480;1839
777;3.3470;1840
611;2.5020;1841
365;1.4080;1842
184;0.2750;1843
17;0;1844
0;0;1845
0;0;1846
0;0;1847
0;0;1848
0;0;1849
0;0;1850
0;0;1851
0;0;1852
0;0;1853
0;0;1854
2;0;1855
17;0.3720;1856
177;1.5680;1857
397;2.6510;1858
604;3.4380;1859
771;3.9210;1860
883;4.1000;1861
920;3.9540;1862
891;3.4540;1863
515;2.6450;1864
507;1.7800;1865
398;0.8290;1866
165;0.1480;1867
17;0;1868
0;0;1869
0;0;1870
0;0;1871
0;0;1872
0;0;1873
0;0;1874
0;0;1875
0;0;1876
0;0;1877
0;0;1878
2;0;1879
12;0.2800;1880
74;1.2770;1881
93;2.3000;1882
194;3.0760;1883
577;3.7660;1884
799;4.1140;1885
885;4.0930;1886
620;3.8010;1887
592;3.2650;1888
525;2.4530;1889
382;1.3580;1890
106;0.2630;1891
29;0;1892
0;0;1893
0;0;1894
0;0;1895
0;0;1896
0;0;1897
0;0;1898
0;0;1899
0;0;1900
0;0;1901
0;0;1902
3;0;1903
6;0.1600;1904
92;0.6660;1905
222;0.9810;1906
150;1.4920;1907
290;2.5340;1908
252;3.1080;1909
174;2.9440;1910
198;2.8580;1911
327;2.0770;1912
290;1.4560;1913
241;0.7560;1914
72;0.1310;1915
4;0;1916
0;0;1917
0;0;1918
0;0;1919
0;0;1920
0;0;1921
0;0;1922
0;0;1923
0;0;1924
0;0;1925
0;0;1926
0;0;1927
3;0.1600;1928
41;0.9000;1929
94;2.1070;1930
518;2.9150;1931
802;3.6680;1932
891;4.0370;1933
920;3.9860;1934
874;3.7250;1935
688;3.2340;1936
543;2.4790;1937
442;1.4580;1938
206;0.3290;1939
20;0;1940
0;0;1941
0;0;1942
0;0;1943
0;0;1944
0;0;1945
0;0;1946
0;0;1947
0;0;1948
0;0;1949
0;0;1950
9;0;1951
26;0.4160;1952
206;1.6210;1953
390;2.6580;1954
609;3.4450;1955
807;3.7280;1956
777;3.9160;1957
690;3.7630;1958
628;3.3590;1959
451;2.8700;1960
367;2.2660;1961
458;1.4670;1962
208;0.3330;1963
21;0;1964
0;0;1965
0;0;1966
0;0;1967
0;0;1968
0;0;1969
0;0;1970
0;0;1971
0;0;1972
0;0;1973
0;0;1974
3;0;1975
20;0.3320;1976
121;1.4650;1977
355;2.6290;1978
496;3.4230;1979
616;3.8170;1980
710;4.1100;1981
779;4.0620;1982
921;3.7990;1983
810;3.2930;1984
644;2.5140;1985
436;1.4580;1986
212;0.3300;1987
27;0;1988
0;0;1989
0;0;1990
0;0;1991
0;0;1992
0;0;1993
0;0;1994
0;0;1995
0;0;1996
0;0;1997
0;0;1998
12;0;1999
30;0.4310;2000
212;1.6640;2001
438;2.7330;2002
649;3.4780;2003
819;3.9340;2004
928;4.1370;2005
968;4.1120;2006
934;3.8860;2007
822;3.3630;2008
654;2.5510;2009
440;1.4940;2010
208;0.3530;2011
25;0;2012
0;0;2013
0;0;2014
0;0;2015
0;0;2016
0;0;2017
0;0;2018
0;0;2019
0;0;2020
0;0;2021
0;0;2022
16;0;2023
30;0.3970;2024
82;1.4700;2025
257;2.3790;2026
268;2.9860;2027
361;3.5850;2028
653;3.9540;2029
862;3.9030;2030
880;3.3420;2031
695;2.2180;2032
530;1.4570;2033
325;0.7440;2034
76;0.1310;2035
15;0;2036
0;0;2037
0;0;2038
0;0;2039
0;0;2040
0;0;2041
0;0;2042
0;0;2043
0;0;2044
0;0;2045
0;0;2046
16;0;2047
25;0.2690;2048
192;1.1590;2049
417;2.2690;2050
627;3.0960;2051
753;3.6060;2052
789;3.8120;2053
924;3.7370;2054
909;3.2920;2055
740;2.3210;2056
605;1.4480;2057
376;0.7940;2058
93;0.1690;2059
9;0;2060
0;0;2061
0;0;2062
0;0;2063
0;0;2064
0;0;2065
0;0;2066
0;0;2067
0;0;2068
0;0;2069
0;0;2070
1;0;2071
15;0.2270;2072
87;1.0290;2073
281;2.0550;2074
638;2.9450;2075
793;3.4610;2076
792;3.6900;2077
901;3.7150;2078
518;3.5180;2079
420;2.9770;2080
517;2.2200;2081
506;1.2530;2082
214;0.3340;2083
29;0;2084
0;0;2085
0;0;2086
0;0;2087
0;0;2088
0;0;2089
0;0;2090
0;0;2091
0;0;2092
0;0;2093
0;0;2094
11;0;2095
40;0.4520;2096
233;1.6460;2097
463;2.6820;2098
675;3.4360;2099
848;3.9150;2100
957;4.1330;2101
994;4.1040;2102
952;3.8360;2103
840;3.3080;2104
667;2.5080;2105
451;1.4290;2106
226;0.3850;2107
33;0;2108
0;0;2109
0;0;2110
0;0;2111
0;0;2112
0;0;2113
0;0;2114
0;0;2115
0;0;2116
0;0;2117
0;0;2118
15;0;2119
43;0.3820;2120
97;1.4250;2121
151;2.4870;2122
260;3.3380;2123
437;3.9080;2124
466;4.1720;2125
460;4.1010;2126
364;3.7650;2127
465;3.1730;2128
191;2.3250;2129
179;1.3280;2130
57;0.3510;2131
2;0;2132
0;0;2133
0;0;2134
0;0;2135
0;0;2136
0;0;2137
0;0;2138
0;0;2139
0;0;2140
0;0;2141
0;0;2142
6;0;2143
54;0.3010;2144
139;1.1940;2145
196;2.2310;2146
307;3.0550;2147
386;3.7900;2148
406;4.1290;2149
490;4.0260;2150
575;3.5680;2151
484;2.7880;2152
476;1.8810;2153
353;0.9320;2154
68;0.2470;2155
0;0;2156
0;0;2157
0;0;2158
0;0;2159
0;0;2160
