V;P;dt
11.5;4.915;1798
11.4;5.3057;1799
12.6;5.2648;1800
11.7;5.3031;1801
11.2;5.2701;1802
17.7;5.2008;1803
10.4;5.1005;1804
10.6;4.9427;1805
9.4;4.4722;1806
9.6;4.7659;1807
9.2;4.3481;1808
9.2;4.3369;1809
8.6;4.2953;1810
9.4;3.8386;1811
8.4;3.7567;1812
8;3.5653;1813
8.6;3.1997;1814
8.6;4.0663;1815
8.4;4.3626;1816
9.7;4.1712;1817
9.5;3.6795;1818
8.7;4.0775;1819
9.3;4.3329;1820
9;4.5085;1821
10.6;4.8543;1822
9.4;4.4326;1823
11.4;5.0127;1824
9.4;5.3057;1825
10.4;5.4509;1826
11;5.342;1827
11.1;5.5084;1828
10.3;4.8998;1829
8.9;3.2571;1830
7.5;4.2365;1831
9;5.3717;1832
11.8;5.0965;1833
8.9;3.8392;1834
7.9;3.0624;1835
7.7;3.0433;1836
9;3.762;1837
7.7;2.6664;1838
7.5;2.7245;1839
7.8;2.3905;1840
7.3;2.1496;1841
6.9;2.6077;1842
6.6;3.5541;1843
8.2;3.9461;1844
9;3.5039;1845
7.7;2.0473;1846
6.3;1.4824;1847
6.1;1.98;1848
5.9;1.3708;1849
5.9;1.0184;1850
5.1;1.1953;1851
5.4;0.9689;1852
5.5;0.7187;1853
4.2;1.8269;1854
8;2.4677;1855
7.2;2.0156;1856
7.1;2.015;1857
6.5;0.9075;1858
4.4;0.9788;1859
6;1.355;1860
6.1;0.9946;1861
4.8;0.7814;1862
5.2;0.7128;1863
4.4;0.4396;1864
4.1;0.3729;1865
4.2;0.13;1866
3.2;0.004;1867
2;0;1868
2.6;0.103;1869
3.5;0.0937;1870
2.7;0.2171;1871
4.3;0.1346;1872
3.7;0.07;1873
3.1;0.0145;1874
2.4;0;1875
2.2;0;1876
2.3;0.0218;1877
3.4;0.3023;1878
3.4;0.0409;1879
2.8;0.033;1880
3.3;0.0099;1881
3.2;0.1241;1882
3.2;0.2224;1883
3.3;0.0218;1884
2.1;0;1885
2.1;0;1886
1.8;0;1887
1.5;0;1888
2.4;0;1889
1.1;0;1890
2.2;0;1891
1;0;1892
0.3;0;1893
1.4;0;1894
0.7;0;1895
2.3;0.0607;1896
3.6;0.0238;1897
2.9;0.0488;1898
3.4;0.169;1899
3.5;0.0739;1900
2.5;0;1901
3;0.0231;1902
3.1;0.1261;1903
3.7;0.3828;1904
3.2;0.0224;1905
3.5;0.1221;1906
2.7;0.0026;1907
2.9;0;1908
1.2;0;1909
2.9;0;1910
2.8;0.0627;1911
4.4;0.3029;1912
3.8;0.493;1913
4.8;0.4204;1914
3.9;0.2462;1915
3.8;0.1148;1916
3.1;0.1366;1917
4.1;0.4719;1918
4.8;0.6838;1919
4.9;0.6349;1920
4.3;0.5933;1921
4.1;0.6626;1922
4.7;0.5102;1923
4.6;0.3003;1924
4;0.1115;1925
3.6;0.202;1926
3.8;0.1828;1927
4.2;0.4297;1928
4.3;0.4435;1929
4.5;0.7557;1930
5.5;0.326;1931
3.6;0.161;1932
3.5;0.1782;1933
4;0.3538;1934
5.6;0.8158;1935
4.9;0.4184;1936
4.2;0.5386;1937
5;0.3927;1938
3.6;0.0409;1939
1.8;0;1940
1.9;0.0396;1941
3.8;0.3359;1942
4.3;0.3148;1943
3.8;0.1934;1944
3;0.1234;1945
3.3;0.1465;1946
3.1;0.0845;1947
3.6;0.0488;1948
2;0;1949
1.9;0;1950
2;0;1951
2.1;0;1952
2.4;0.0099;1953
3.2;0.0554;1954
3.4;0.2303;1955
4.6;0.495;1956
3.9;0.1828;1957
3.1;0.1003;1958
3.7;0.0673;1959
3.1;0.0007;1960
2.6;0.1624;1961
3.3;0.2845;1962
3.2;0.0198;1963
2;0;1964
2.7;0.1756;1965
3.8;0.2356;1966
4.1;0.4712;1967
4.5;0.5927;1968
5.7;0.2383;1969
4;0.3076;1970
4.4;0.2719;1971
2.7;0.2053;1972
4;0.6508;1973
5.6;0.8758;1974
4.7;0.7696;1975
4.7;0.7181;1976
4.8;0.5518;1977
4.2;0.3313;1978
3.4;0.2713;1979
4;0.3518;1980
4.7;0.6851;1981
4.4;0.7702;1982
4.3;0.7465;1983
4.7;0.5894;1984
3.2;0.1056;1985
3.9;0.1333;1986
4.6;0.3069;1987
3.6;0.1267;1988
3.5;0.1201;1989
3.8;0.5656;1990
4.1;0.8039;1991
5.1;1.0237;1992
5.6;1.5926;1993
6.8;1.5662;1994
5.6;1.2071;1995
5.6;0.9042;1996
5.3;0.6673;1997
4.5;0.7689;1998
4.8;1.0243;1999
5.7;1.1088;2000
5.3;1.1029;2001
5.2;0.5966;2002
4.5;0.2831;2003
3.7;0.2587;2004
3.9;0.5359;2005
5.3;0.5498;2006
4.8;0.6778;2007
4.2;0.0904;2008
2.5;0;2009
2.9;0;2010
2.8;0;2011
2.8;0;2012
2.8;0;2013
2.8;0.0152;2014
3.2;0.1604;2015
3.2;0.0304;2016
2.2;0.0581;2017
3.9;0.1604;2018
3.4;0.0917;2019
2.9;0;2020
2.4;0;2021
1.9;0;2022
2.9;0;2023
2.1;0;2024
1.8;0;2025
1.5;0;2026
2.2;0;2027
2.7;0;2028
2.3;0;2029
0.7;0;2030
1.9;0;2031
2.6;0.0825;2032
4;0.3023;2033
4.2;0.5399;2034
4.6;0.4217;2035
4;0.2251;2036
3.3;0.2369;2037
4.2;0.4033;2038
4.4;0.8653;2039
5.3;0.8798;2040
5.2;0.6646;2041
5.3;1.2428;2042
6;1.4678;2043
6.4;1.5715;2044
6.2;1.7305;2045
6.8;2.2605;2046
6.9;2.7113;2047
7.3;1.9866;2048
6.1;1.0857;2049
4.8;0.4429;2050
3.6;0.1313;2051
3.1;0.0442;2052
2.8;0.3142;2053
4.8;0.5405;2054
4.1;0.4191;2055
4.5;0.5049;2056
4.6;0.7267;2057
4.5;0.3927;2058
4.7;0.559;2059
4.8;0.5491;2060
4;0.4257;2061
5;0.4145;2062
3.8;0.3194;2063
3.6;0.2871;2064
3.6;0.5108;2065
4.4;0.4851;2066
4;0.433;2067
4.5;0.6844;2068
5.6;0.788;2069
4.6;0.5432;2070
4.9;0.9999;2071
5.2;1.0633;2072
5.8;1.0745;2073
4.8;0.4957;2074
3.6;0.0541;2075
3.5;0.2726;2076
5.2;0.7953;2077
4.9;0.7181;2078
5.2;0.8006;2079
4.3;0.532;2080
4.4;0.6442;2081
4.6;0.3775;2082
3.1;0.1954;2083
4.3;0.4712;2084
4.4;0.6072;2085
4.4;0.6092;2086
4.2;0.493;2087
4.4;0.9088;2088
5.4;0.961;2089
5.6;0.6158;2090
4.5;0.6857;2091
5;0.8065;2092
5;1.2078;2093
6.3;1.6401;2094
6.2;1.683;2095
5.9;1.8355;2096
6.4;1.7503;2097
6.5;1.6243;2098
5.6;1.3781;2099
6.3;1.8724;2100
5.9;1.2962;2101
5.6;1.3609;2102
5.8;1.5114;2103
6.1;1.9529;2104
6.3;1.2085;2105
4.8;0.7748;2106
4.6;0.7399;2107
5.6;1.0058;2108
5.3;0.8996;2109
5.3;1.0157;2110
5.8;0.8725;2111
5.8;1.3999;2112
6.1;1.1418;2113
5.1;0.6316;2114
4.7;0.9973;2115
5.9;1.1299;2116
5.4;1.0388;2117
5.4;1.1477;2118
6;1.5253;2119
5.5;1.3332;2120
4.9;0.9016;2121
5.2;1.1306;2122
5.8;1.025;2123
4.4;0.4198;2124
3.8;0.3188;2125
4.3;0.7247;2126
4;0.5465;2127
5.3;0.9596;2128
5.4;0.988;2129
5.7;1.2923;2130
5.4;0.8758;2131
4.9;0.9359;2132
5.2;1.0474;2133
5.4;0.7465;2134
4.6;1.3471;2135
7;1.7114;2136
6.3;1.9919;2137
7;1.4711;2138
5.6;2.0315;2139
7;1.6856;2140
6.4;2.2136;2141
6.4;2.4512;2142
7;2.2361;2143
7;2.5773;2144
7.3;3.362;2145
8.5;3.7019;2146
7.7;3.0974;2147
7.2;2.809;2148
7.1;2.5938;2149
6.8;2.2737;2150
6.8;1.7048;2151
6.3;1.8117;2152
6.3;2.2282;2153
6.2;1.7912;2154
5.5;1.0144;2155
4.5;0.9009;2156
5.5;0.9273;2157
5.5;0.8534;2158
4.9;0.8402;2159
6;1.3517;2160
